# 손으로 쓴 개별 축약 — `id <TAB> 번역문`
# 자동 규칙(fix_tsv.py)으로는 예산에 못 넣는 행을 하나씩 다시 쓴다.
# ★축약 단계 «전»에 적용되므로, 여기 쓴 문장이 예산에 맞으면 자동 규칙이 건드리지 않는다.
# ⚠개행은 반드시 «백슬래시 + n» 두 글자로 쓴다. 진짜 줄바꿈을 넣으면 파일이 깨진다.
# 검사: python tools/build_all.py  ->  work/build_errors.txt
#
# --- 05_아이템명 : 속성·설명 라벨 ---
SYS01814	저주 안 받음
SYS01833	독 안 받음
SYS01816	쓰러져도 안 사라짐(1회)
SYS01838	최대 포만도 1이 되나 배 안 고픔
SYS01812	이것만으로는 아무 일 없음
SYS01769	반드시명중
SYS01771	전방 3방향 동시 공격
SYS01819	벽 속도 공격, 던지면 원거리
# --- 05_아이템명 : 비기 이름 ---
# --- 05_아이템명 : 아이템 이름 ---
SYS01337	맛없어 보이는 밥
SYS01447	×줍기불가족자
SYS01467	×얼음족자
SYS01479	×큰바람족자
# --- 05_아이템명 : 비기 설명문 ---
SYS01941	빗나가지 않는 공격\n상대가 물속에 있어도\n벽 속에 있어도 반드시 맞는다\n
SYS01953	장비한 무기에 번개를 실어\n번개 공격을 날린다\n단 번개는 전도되므로\n자신도 데미지를 입는\n양날의 비기\n
SYS01974	장비한 무기로\n수중 속성 적에게 큰 데미지를\n주는 공격을 한다\n수중도 공격 가능\n
SYS01995	공격하며 적의 등 뒤로 빠져나간다\n적이 연속해 있으면\n그 전부를 공격하고 맨 뒤\n적의 등 뒤까지 빠져나간다\n등 뒤가 비면 발동 안 함\n
SYS02013	2배 힘으로 화살 발사\n아이템 칸의 화살에서 선택\n단지 안과 발밑은 제외\n
SYS02067	정면의 적이 가진\n아이템을 훔친다 소지품이\n가득 차면 적 발밑에 떨어진다\n이미 떨어뜨렸거나 튕겨낸\n적한테서는 못 훔친다\n
#
# --- 01_대사 (1차 110행) ---
SCR00006	제니고로「얼마 맡기시겠수?
SCR00018	제니고로「얼마 뽑겠수?
SCR00025	제니고로「앞으로도\n풍래은행 잘부탁드리는구먼유
SCR00048	밭과 논에 물을 주고\n빨래하고 채소를 씻고…
SCR00053	로쿠스케 엄마「어머 풍래인 양반\n덕분에 마을이 원래대로 됐어
SCR00101	아스카＠ 일행은 해안까지 걸어\n사이라이국으로 향했다
SCR00112	아스카＠ 일행은 배로\n사이라이국으로 향했다\n새 모험의 땅으로…\x1F\x1E…\x1F\x1E…
SCR00130	이동 법칙
SCR00131	검 공격의 기본
SCR00135	공격력 방어력
SCR00185	평소엔 2줄까지만 나온다만
SCR00285	야카구라 숲으로
SCR00300	사지「그 설마다!
SCR00309	선생「헌데 왜입니까!
SCR00320	여자애「무슨 일 있었어?
SCR00321	남자애「닌자는 나쁜 사람들이야?
SCR00327	아스카＠「코가 닌자가 사람을 습격하는 이유\n그리고 정말 코가 닌자가\n독을 흘리는지
SCR00356	미나모「아녜요!
SCR00362	사지「거짓말이여!\n못 믿겠어!
SCR00427	아스카＠「그리 말씀하시니…\n좀 쑥스럽습니다만
SCR00439	여자애「무―서워―!
SCR00485	촌장「이건 독입니다
SCR00496	로쿠스케「마타기 마을이나 네고로신사에선\n벌써 몇 명이나 피해가\n났대
SCR00522	비구니「나는 길 가는 이들에게\n리바 팔수신님 말씀을 전한다네!\n그대도 듣겠나?
SCR00530	비구니「음!\n오늘은 식(食)의 신 부후님 말씀이니라!
SCR00533	비구니「음!\n오늘은 주(住)의 신 무라도님 말씀!
SCR00614	에레키상자 뭐야?
SCR00616	에레키상자 HP?
SCR00826	옛날 옛적에\n조상 대대로 내려온 카타나를\n지니고 다니던 무장이 있었단다
SCR00828	카타나를 녹슬게 하면 조상님께\n면목이 안 서지
SCR00845	마을 사람들의 감사 세례\n처녀들의 동경 어린 시선
SCR00849	마을 사람들의 감사 세례\n처녀들의 동경 어린 시선
SCR00873	카야에「…\x1F\x0F…\x1F\x0F…이리 와\n사정을 말해주마
SCR00891	행상인「또 오시길 기다리겠습니다
SCR00892	대장간「오늘은 컨디션 좋수!!
SCR00900	어느 것을 드릴까요?
SCR00913	%d기탄으로 고치겠수
SCR00915	%d기탄으로 단련하겠수
SCR00917	문양 지우겠수?
SCR00929	일하겠수!
SCR00930	열심히 하겠수!!
SCR00932	지금 바로 문양 뜯겠수!
SCR00939	미나모「괜찮아 긁힌 상처야…
SCR01010	야카구라 숲으로
SCR01023	어엿한 닌자「코가성은\n저희 코가 닌자 수행장입니다
SCR01026	하가쿠레 닌자「사이라이국엔\n시노비 술법으로 나그네를 덮치는\n불한당이 있으니 조심하세요
SCR01036	하가쿠레 닌자「코가 비밀굴은\n혼자 도전하는 게 규칙입니다
SCR01047	하가쿠레 닌자「코가 비밀굴은\n코가 최대 수행장으로
SCR01067	의사「메이오우란 독으로\n한동안 몸이 안 좋다는 사람이\n있었습니다만
SCR01072	아스카＠「그건 다행이나\n뭔가 곤란한 일이 있으신 듯
SCR01075	아스카＠「제기 방?
SCR01090	너구리상「…\x1F\x0F…\x1F\x0F…\x1F\x0F…
SCR01091	너구리상?「…\x1F\x0F…\x1F\x0F…\x1F\x0F…\x1F\x0F…\x1F\x0F…쥐
SCR01106	콧파「기다려 이놈!
SCR01150	하가쿠레 닌자「코가 비밀굴은\n코가 최대 수행장으로
SCR01194	카스미야 주인「안내하지~
SCR01197	카스미야「돈이 부족하구먼
SCR01199	아스카＠「소인은 아스카＠
SCR01225	장로「…조종하는 것은\n먹이를 나르게 함이니라…
SCR01227	콧파「아이템이 좋다고!?
#
# --- 01_대사 (2차 110행) ---
SCR01235	장로「…서두르거라…
SCR01248	콧파「여기가 요괴마을인가
SCR01252	대장간「또 오시면 좋겠슴다!!
SCR01255	대장간「오늘은 잘되슴다!!
SCR01266	어느 것임까?
SCR01276	%d기탄으로 고침다
SCR01280	문양 지우겠슴까?
SCR01292	작업임다!
SCR01337	얌전히 조종당하는 게 좋다!!
SCR01633	주민「지금 도전할 수 있는 시련은 셋\n드라스의 시련 부후의 시련\n무라도의 시련이지
SCR01671	백사도로
SCR01673	삼파성으로
SCR01674	칠천경으로
SCR01708	어느 쪽이든 도움이 돼요
SCR01711	분해할 건 어느 거야?
SCR01713	에레키상자 %d개지
SCR01729	아무것도 안 가지고 계신 듯해요
SCR01746	에레키상자개조
SCR01749	잡담
SCR01806	그만둔다
SCR01832	바리바리「소중히 다루거라
SCR01927	제니고로「얼마 찾을거유?
SCR01974	문지기「코요리님!!
SCR01975	문지기「희소식입니다!\n그 기분 나쁜 큰바위가\n방금 산산조각 났습니다!
SCR01990	오바바「서두르지 마라\n그 바위는 그냥 시간벌이야
SCR02004	코요리「느껴지나요?
SCR02017	아스카＠「신경쓰인다?
SCR02019	이 나라 옛이야기에 나오는\n괴물 이름인데요
SCR02026	사람들은 슬퍼하며\n속수무책으로 도망칠 뿐이었다」
SCR02039	그리하여 사기는 걷히고\n사이라이국에 평화가 왔다」
SCR02045	코요리「저기 잠깐!!
SCR02068	아스카＠「…응?\n여기 마룻바닥은\n뜯어낼 수 있겠군
SCR02069	바닥을 뜯을까?
SCR02070	아스카＠는 바닥을 뜯었다
SCR02127	주민「어때?
SCR02154	콧파「…빌어먹을 영감
SCR02181	키하치「조건을 받아들일 수밖에
SCR02219	바리바리「기다려!!
SCR02226	바리바리「폭발! 아아 이것이 미!\n이것이 에레키상자!!\n그야말로 엘레가안트!!!
SCR02242	젊은이「이봐 이 정도면\n배는 받을 수 있잖아?
SCR02329	풍래구조대가 되겠습니까?
SCR02345	구조 보고하기
SCR02346	구조 보고 삭제
SCR02347	삼도천 회보 읽기
SCR02350	전국 풍래인순위 등록
SCR02402	아이템을 가지고 못 들어가네
SCR02403	아이템을 %d개밖에 못 가지고 가네
SCR02406	기탄을 가지고 못 들어가네
SCR02435	신관「여기는 주문구조 접수처입니다\n현재 넷 구조 중이라 주문구조\n안내는 못 해드립니다
SCR02439	구조하러
SCR02441	부활 주문 듣기
SCR02444	신관「또 뵙지요
SCR02453	신관「%s엔 %d개의
SCR02474	신관「지난번 구하신 분의
SCR02481	감사 주문이란?
SCR02482	여기 주의!
SCR02487	'감사 주문' 이렇게 3가지입니다
SCR02500	셋째 단지나 무기・방패 에레키상자는\n주의가 필요합니다
SCR02514	신관「여기는 감사 접수처
SCR02516	감사 주문에 대하여
SCR02518	신관「또 뵙지요
SCR02530	전할 감사 주문은
SCR02539	어떤 아이템을 보낼까요?
SCR02542	신관「훌륭합니다!\n구조 성공!!
SCR02547	신관「%s 보낼까요?
SCR02549	보낼까요?
SCR02550	신관「아이템은 안 보내시는군요?
#
# --- 01_대사 (3차 105행) ---
SCR02561	신관「이번에 구조된 분의 부활 주문은
SCR02578	신관「여기는 제단\n축제를 치르는 데 필요한\n여덟 제기를 봉납하는 곳입니다
SCR02588	시련의 길은?
SCR02589	사카이 제기에 대하여
SCR02590	더한 시련이란?
SCR02617	신관「물어보고 싶으시면\n언제든 말씀해주세요
SCR02630	문지기「나가시나요?
SCR02632	문지기「아스카＠ 님\n지금 이 나라에서 팔마천과 싸울 수 있는 자는\n아무래도 그대뿐인 듯하오
SCR02639	문지기「당신 강하네~\n근데~ 남자 문지기인 우리는\n어쩐지 체면이 말이 아냐~
SCR02682	마을사람「지금 도전할 수 있는 시련은 셋\n드라스의 시련 부후의 시련\n무라도의 시련이야
SCR02687	마을사람「젠장 팔마천 놈들\n정말 끝까지 발악이군!
SCR02714	단키치「나는 수레꾼이야\n사람을 다른 마을로 나르는 게\n내 일이지
SCR02720	백사도로
SCR02722	삼파성으로
SCR02723	칠천경으로
SCR02755	키치조「안되겠는데
SCR02758	어느 걸 파시겠어요?
SCR02760	분해할 건 어느 거야?
SCR02762	에레키상자 %d개죠
SCR02763	%s 말이죠
SCR02766	전부 %d개죠
SCR02767	%s 말이죠
SCR02773	소지품이 가득 찼어
SCR02778	아무것도 안 가지고 계신 듯해요
SCR02787	를 떼는거지?
SCR02795	에레키상자개조
SCR02798	잡담
SCR02840	그러셨군요…저랑\n그 녀석은 같은 시기 동문이라서요
SCR02842	키치조「저랑 바리바리 그 녀석은\n같은 시기 동문이라서요
SCR02891	제니고로「얼마 맡기실거유?
SCR02903	제니고로「얼마 찾겠나?
SCR02912	바닥을 뜯을까?
SCR02925	아스카＠「그놈들이요?
SCR02933	문지기「코요리님ー!\n큰일입니다!
SCR02935	코요리「괜찮아요!?\n무슨 일이에요?
SCR02939	코요리「!??\n문지기「뭐 뭐지?\x1F\x0F\n방금 그 목소리는??
SCR02947	사이라이국 인간들에게 고한다!\n「제기의 방」은\n우리가 제압했다!!
SCR02956	신조차 두렵지 않다는 게\n이런 거군!
SCR02962	아스카＠「시련?
SCR03000	코요리「크 큰일!
SCR03010	그놈을 쓰러뜨리고 리바 축제를 없애\n나의 완전한 부활을 이루겠다!\n히이잇힛힛!!
SCR03082	스케짱「여기는\n풍래구조대 접수처니라\n자네도 풍래구조대가 되지 않겠나?
SCR03090	자네도 풍래구조대가 되겠나?
SCR03093	풍래구조대가 되겠습니까?
SCR03109	구조 보고하기
SCR03110	구조 보고 삭제
SCR03111	삼도천 회보 읽기
SCR03114	전국 풍래인순위 등록
SCR03155	마지막으로 주의사항인데
SCR03166	아이템을 못 가지고 가느니라
SCR03167	아이템을 %d개밖에 못 가지고 가네
SCR03170	기탄을 못 가지고 가느니라
SCR03174	밖에 있는 제니고로에게 말하면\n언제든 찾을 수 있느니라
SCR03182	%s에 %d층은 없습니다
SCR03184	구조대 직원「어서오세요\n여기는 풍래구조대입니다
SCR03199	신관「여기는 주문구조 접수처입니다\n현재 넷 구조 중이라 주문구조\n안내는 못 해드립니다
SCR03203	구조하러
SCR03208	신관「또 뵙지요
SCR03217	신관「%s엔 %d개의
SCR03224	소지하신 기탄을\n풍래은행에 맡기시겠습니까?
SCR03238	신관「지난번 구하신 분의
SCR03245	감사 주문이란?
SCR03251	'감사 주문' 이렇게 3가지입니다
SCR03264	하나 단지나 무기・방패 에레키상자는\n주의가 필요합니다
SCR03278	신관「여기는 감사 접수처
SCR03280	감사 주문에 대하여
SCR03282	신관「또 뵙지요
SCR03293	신관「지난번 도와준 분에게
#
# --- 01_대사 (4차 100행) ---
# ★대장장이 말투 ッス 는 「~슴다/슴까」로 통일한다(임다·수다·습쇼·함다 로 갈려 있었다).
SCR03303	어느 아이템을 보낼까요?
