=== DATAAPP.BIN  (612352 B, 청크 4) ===
   0x00009000    131104 B  fmt 0501   512x512   font1000
   0x00029020    131104 B  fmt 0501   512x512   font1001
   0x00049040    131104 B  fmt 0501   512x512   font1002
   0x00090000      8224 B  fmt 0501   128x128   fontank000

=== DATADAI.BIN  (659456 B, 청크 53) ===
   0x00000000      8224 B  fmt 0102    64x64    awa01
   0x00002020      8224 B  fmt 0102    64x64    awa02
   0x00004040     32800 B  fmt 0102   128x128   hamon00
   0x0000C060     32800 B  fmt 0102   128x128   hamon01
   0x00034800      8224 B  fmt 0102    64x64    m07_a_01
   0x00036820      8224 B  fmt 0102    64x64    m07_a_02
   0x00038840      8224 B  fmt 0102    64x64    m07_a_03
   0x0003A860      8224 B  fmt 0102    64x64    m07_a_04
   0x0003C880      8224 B  fmt 0102    64x64    m07_a_05
   0x0003E8A0      8224 B  fmt 0102    64x64    m07_a_06
   0x000408C0      8224 B  fmt 0102    64x64    m07_b_01
   0x000428E0      8224 B  fmt 0102    64x64    m07_b_02
   0x00044900      8224 B  fmt 0102    64x64    m07_b_03
   0x00046920      8224 B  fmt 0102    64x64    m07_b_04
   0x00048940      8224 B  fmt 0102    64x64    m07_b_05
   0x0004A960      8224 B  fmt 0102    64x64    m07_b_06
   0x0004C980      8224 B  fmt 0102    64x64    m07_b_07
   0x0004E9A0      8224 B  fmt 0102    64x64    m07_b_08
   0x000509C0      8224 B  fmt 0102    64x64    m07_b_09
   0x000529E0      8224 B  fmt 0102    64x64    m07_b_10
   0x00054A00      8224 B  fmt 0102    64x64    m07_b_11
   0x00056A20      8224 B  fmt 0102    64x64    m07_c_01
   0x00058A40      8224 B  fmt 0102    64x64    m07_c_02
   0x0005AA60      8224 B  fmt 0102    64x64    m07_c_03
   0x0005CA80      8224 B  fmt 0102    64x64    m07_c_04
   0x0005EAA0      8224 B  fmt 0102    64x64    m07_c_05
   0x00060AC0      8224 B  fmt 0102    64x64    m07_c_06
   0x00065000     32800 B  fmt 0102   128x128   hikari_anim
   0x0006D020      2080 B  fmt 0102    32x32    h_koke_anim
   0x0006D840      8224 B  fmt 0102    64x64    awa01
   0x0006F860      8224 B  fmt 0102    64x64    awa02
   0x00071880     32800 B  fmt 0102   128x128   hamon00
   0x000798A0     32800 B  fmt 0102   128x128   hamon01
   0x000818C0      8224 B  fmt 0102    64x64    hamon
   0x000838E0      2080 B  fmt 0102    32x32    suihou
   0x00084100      2080 B  fmt 0102    32x32    sakana1_270
   0x00084920      2080 B  fmt 0102    32x32    sakana1_225
   0x00085140      2080 B  fmt 0102    32x32    sakana1_180
   0x00085960      2080 B  fmt 0102    32x32    sakana1_135
   0x00086180      2080 B  fmt 0102    32x32    sakana1_90
   0x000869A0      2080 B  fmt 0102    32x32    sakana1_45
   0x000871C0      2080 B  fmt 0102    32x32    sakana1_0
   0x000879E0      2080 B  fmt 0102    32x32    sakana1_315
   0x00088200      2080 B  fmt 0102    32x32    sakana2_270
   0x00088A20      2080 B  fmt 0102    32x32    sakana2_225
   0x00089240      2080 B  fmt 0102    32x32    sakana2_180
   0x00089A60      2080 B  fmt 0102    32x32    sakana2_135
   0x0008A280      2080 B  fmt 0102    32x32    sakana2_90
   0x0008AAA0      2080 B  fmt 0102    32x32    sakana2_45
   0x0008B2C0      2080 B  fmt 0102    32x32    sakana2_0
   0x0008C800      8224 B  fmt 0102    64x64    sef47_bla_01
   0x0008E820      2080 B  fmt 0102    32x32    sef47_fl_01
   0x00094000     32800 B  fmt 0102   128x128   sef100_kaze

=== DATAIDA.BIN  (19365888 B, 청크 533) ===
   0x00002800     32800 B  fmt 0102   128x128   09_01
   0x00013000      8224 B  fmt 0102    64x64    f01e_kusa00
   0x00016000      8224 B  fmt 0102    64x64    mi_A_0000
   0x00018020      8224 B  fmt 0102    64x64    mi_A_0001
   0x0001A040      8224 B  fmt 0102    64x64    mi_A_0002
   0x0001C060      8224 B  fmt 0102    64x64    mi_A_0003
   0x0001E080      8224 B  fmt 0102    64x64    mi_A_0004
   0x000200A0      8224 B  fmt 0102    64x64    mi_A_0005
   0x000220C0      8224 B  fmt 0102    64x64    mi_B_0000
   0x000240E0      8224 B  fmt 0102    64x64    mi_B_0001
   0x00026100      8224 B  fmt 0102    64x64    mi_B_0002
   0x00028120      8224 B  fmt 0102    64x64    mi_B_0003
   0x0002A140      8224 B  fmt 0102    64x64    mi_B_0004
   0x0002E800     32800 B  fmt 0102   128x128   umi_test
   0x00036820      8224 B  fmt 0102    64x64    nami2_00_01
   0x0003B000      3456 B  fmt 0402    64x64    fm_umi_A1_0000
   0x0003BD80      3456 B  fmt 0402    64x64    fm_umi_A1_0001
