남은 쉼표 362행

SCR06245  그리고,\n맞선 얘기\n제대로 생각해두라구.
SCR07327  뭐, 됐나.\x1F\x0F나 이제부터 동료들이랑\n너랑 아버지 중 누가 이길지\n내기하고 올게.
SCR06409  자, 어느 게 진짜냐?\n네 쪽서 봤을 때\n오른쪽인지 왼쪽인지 답해
SCR06918  내 도둑질 기술 앞에서는 토도의\n방패조차 안 통하지. 그럼, 안녕!
SCR07467  자,\n이만 물러가도록 하지.
SCR02602  그래도, 고도의 테크닉이\n요구될 것입니다.
SCR02520  하지만, 소지품이 가득 찬 것 같아서\n상품을 드릴 수 없습니다.\n소지품을 정리하고 와 주세요.
SCR06943  폰토「후 후와와…… 또, 또 쥐다……。
SCR06524  흥, 인간 주제에 건방져!\n너 싫어!\n흐으으으으응이다!
SCR07717  라군들은 내 제자들이라네.\n이거 참,\n부끄럽기 짝이 없구먼.
SCR07602  자, 나도\n오늘은 지쳤소이다.
SCR02543  자, 구조하신 분에게\n아이템을 보내 상대방의 모험을\n더욱 도와드릴 수도 있습니다만
SCR01495  콧파「독?\n혹시 그, 강에 흐르던?
SCR06157  자, 어느 쪽이 진짜냐?\n네가 보는 쪽에서\n오른쪽인지 왼쪽인지 답해봐.
SCR04310  뭐, 관계자 외에는\n출입 금지지만 말이야.
SCR02085  뭐, 그 아이도코가의닌자이니\n어지간해서는 당하지않을거라 생각합니다만\n조금 성급한 구석이 있어서요.
