SCR00449 예산17
  J 'ケイタ「ええ～?\\x1F\\x1E'
  K '케이타「에―?\\x1F\\x1E'
SCR01352 예산35
  J '\u3000……ミ…\\x1F\\x0F…\\x1F\\x0F\\n\u3000ミナモ\\x1F\\x0F…\\x1F\\x0F…。'
  K '……미…\x1f\x0f…\x1f\x0f\\n미나모\x1f\x0f'
SCR01364 예산34
  J '\u3000すまぬ\\x1F\\x0F…\\x1F\\x0F…\\x1F\\x0Fミナモ\\x1F\\x0F…\\x1F\\x0F…。'
  K '미안하다\x1f\x0f…\x1f\x0f…\x1f\x0f미나모'
SCR01378 예산22
  J '頭領「ミナモ\\x1F\\x0F…\\x1F\\x0F…。'
  K '두령「미나모\\x1F\\x0F…\\x1F\\x0F…'
SCR01380 예산55
  J '\u3000すまぬ…\\x1F\\x0F…\\x1F\\x0Fミナモ\\x1F\\x0F…\\x1F\\x0F…\\x1F\\x0F\\n\u3000すま…\\x1F\\x0F…ぬ…\\x1F\\x0F…。'
  K '미안하다…\x1f\x0f…\x1f\x0f미나모\x1f\x0f…\x1f\x0f…\x1f\x0f\\n미안하다'
SCR03371 예산38
  J '\u3000みんな、転ぶわ落ちるわ大変だったぜ。'
  K '다들넘어지질않나떨어지질않나아주난리였다고'
