SSCR.BIN: 1건
DATASCR.BIN: 80건
DATASCR.BIN 0x151DB (48 B) | <10>カヤエ「とくに頭領は、\n　人望もあつかった……。
DATASCR.BIN 0x18744 (16 B) | <01>a"<10>頭領「うむ。
DATASCR.BIN 0x18771 (25 B) | <05>�P<08><10>かけだし忍者「頭領、
DATASCR.BIN 0x187D4 (58 B) | <01>a"�頭領「よし、ご苦労。\n　みな、今日もよくがんばったな。
DATASCR.BIN 0x18AAF (20 B) | <07><10>頭領「ふっふっふ。
DATASCR.BIN 0x18B8C (38 B) | <09><10>忍者たち・頭領「あっはっはっはっは!!
DATASCR.BIN 0x18E05 (28 B) | <10>頭領「いよいよ\n　出発だな。
DATASCR.BIN 0x18E6C (93 B) | <01>a"�頭領「うむ。わが身をかえりみずとも、\n　人々をモンスターから守る。\n　これが鋼賀の仕事だ。
DATASCR.BIN 0x18F33 (61 B) | <FF>_<04>p<04>a"<10>頭領「これは我が鋼賀に、\n　先祖代々伝わる聖なるクシ。
DATASCR.BIN 0x1905E (65 B) | <01>a"<10>頭領「鋼賀の名に恥じぬよう、\n　しっかりと修行してくるのだぞ。
DATASCR.BIN 0x197C8 (86 B) | <FF><10>かけだし忍者「頭領はここを\n　わたしらにまかせて、\n　一人祭来国へ行ってしまいました。
DATASCR.BIN 0x19872 (74 B) | <10>かけだし忍者「あっ頭領。\n　頭領の留守中、\n　いっさい異常ありませんでした!
DATASCR.BIN 0x19872 (74 B) | <10>かけだし忍者「あっ頭領。\n　頭領の留守中、\n　いっさい異常ありませんでした!
DATASCR.BIN 0x19EAE (56 B) | <01><03><10>　頭領が調べているんですけど、\n　あれはいったい……。
DATASCR.BIN 0x1B09E (86 B) | xM<05><10>頭領「ううむ。なんという重さだ。\n　まったく動かせぬ。\n　これはどうしたものか……。
DATASCR.BIN 0x1B126 (60 B) | <0B>�P<02>�頭領「おお、アスカ＠どの!\n　これは良く来てくださった。
DATASCR.BIN 0x1B201 (79 B) | O=P<10><10>頭領「ええ、何者かがここに、\n　この変な狸の像を\n　置いてしまったのですが、
DATASCR.BIN 0x1B2BE (87 B) | O=P<10><10>頭領「……そうだ、アスカ＠どのには\n　きちんとお話ししておいたほうが\n　いいですな。
DATASCR.BIN 0x1B475 (78 B) | <01>a"<10>頭領「ええ。\n　しかもその祭で使用する、\n　「祭器」という重要なアイテムが、
DATASCR.BIN 0x1B69D (33 B) | �ﾐ<04><10>頭領「へんなにおい、\x1F\x0Fですか?
DATASCR.BIN 0x1B904 (55 B) | <09>�P<10>�頭領「ま、まて!!\n　おまえ、もしや八魔天の一味か!?
DATASCR.BIN 0x1BA31 (43 B) | <01>a"<10>頭領「やはり\n　おまえらの仕業だったか。
DATASCR.BIN 0x1BD8C (68 B) | <01>a"<10>頭領「まあしかし、\n　これで祭器の間へ\n　行けるようになりました。
DATASCR.BIN 0x1BE6C (56 B) | O=P<10><10>頭領「ふむ。ではさっそく、\n　祭器を取るとしますか。
DATASCR.BIN 0x1C14E (91 B) | <05><10>　　　　　　　　 頭領は\n　　　　　 商売神サカイの祭器\n　　「長者のソロバン」を手に入れた!
DATASCR.BIN 0x1C1AA (100 B) | <01>�
�<B0><09>a"<10>頭領「アスカ＠どの、\n　ワシはこれからこの祭器をもって、\n　祭来国へ行ってみようと思います。
DATASCR.BIN 0x1C295 (39 B) | �頭領「おっと、\n　忘れるところでした。
DATASCR.BIN 0x1C3E5 (41 B) | <07><10>頭領「では、これで。\n　失礼いたします。
DATASCR.BIN 0x22779 (12 B) | <01>a"<10>頭領「!!
DATASCR.BIN 0x227BA (16 B) | <01>a"<10>頭領「!?!!!?
DATASCR.BIN 0x22874 (17 B) | O\P<02><10>頭領「グァ!!
DATASCR.BIN 0x228FF (39 B) | d<10>頭領「グ……頭が……\n　うがああああ!!
DATASCR.BIN 0x229D1 (37 B) | d<10>頭領「………ウ、\x1F\x1E\n　ウオオオオォ!!
DATASCR.BIN 0x22C56 (14 B) | <FF>_<04><B0><13><10>頭領「!!
DATASCR.BIN 0x22CBE (13 B) | <10>頭領「……。
DATASCR.BIN 0x2391E (20 B) | <01>a"<10>頭領「…………。
DATASCR.BIN 0x23979 (39 B) | <01>a"<10>頭領「……ウウ……\n　お、おお……。
DATASCR.BIN 0x23A2A (40 B) | <01>a"<10>頭領「……聖なるクシの…力です……。
DATASCR.BIN 0x23B99 (20 B) | <01>a"<10>頭領「ミナモ……
DATASCR.BIN 0x23C5A (50 B) | <01>a"<12><02><04><10>頭領「…\x1F\x0F…\x1F\x0Fウウ\x1F\x0F…\x1F\x0F…\x1F\x0F\n　お、おお……
DATASCR.BIN 0x23DE3 (40 B) | <01>a"<10>頭領「……聖なるクシの…力です……。
DATASCR.BIN 0x23F72 (55 B) | <01>a"<10>頭領「ふふふ……\x1F\x0F\n　さすがは風来人さんですね……。
DATASCR.BIN 0x23FB7 (23 B) | <10>頭領「ミナモ\x1F\x0F…\x1F\x0F…。
DATASCR.BIN 0x27ECD (26 B) | <10>頭領「!!\x1F\x0F\n　ナニモノダ!!
DATASCR.BIN 0x27F29 (42 B) | O\P<01><10>頭領「人間…\x1F\x0F…カ……\n　ググ…\x1F\x0F…。
DATASCR.BIN 0x2821B (29 B) | d<10>頭領「グ、グアアアアァァァ!
DATASCR.BIN 0x28EF1 (61 B) | <10>頭領「ウウ\x1F\x0F…\x1F\x0F…\x1F\x0F\n　アイテム……\x1F\x0Fヨコセ……\x1F\x0F\n　ウウ……
DATASCR.BIN 0x2FC0B (88 B) | <01><10>　もしよかったら、\n　鋼賀村へおいでください。\n　頭領が、お礼の品を用意していますから。
DATASCR.BIN 0x331C2 (97 B) | <01>�　さっき、鋼賀の頭領どのが\n　祭器を届けに来てくれたでな。\n　これで４つ集まったというわけじゃ。
DATASCR.BIN 0x359CB (35 B) | <08>￣\n<04>�P\n�頭領「おお、アスカ＠どの!
DATASCR.BIN 0x35A1D (64 B) | <0B>�P<05><10>頭領「アスカ＠どのもやはり\n　祭来国へいらしていたのですね。
DATASCR.BIN 0x35BCF (69 B) | <01>a"<10>アスカ＠「おお、それはありがたい。\n　頭領どの、ぜひお願いします。
DATASCR.BIN 0x35C22 (33 B) | \n�P<05><10>頭領「ありがとうございます。
DATASCR.BIN 0x35C44 (74 B) | <01><10>　ん、そうだ。\n　アスカ＠どのに「頭領」と呼ばれるのは\n　なにか変ですね。
DATASCR.BIN 0x45148 (88 B) | <01><10>　もしよかったら、\n　鋼賀村へおいでください。\n　頭領が、お礼の品を用意していますから。
