한글 번역문의 «한글·ASCII 아닌» 글자 71종
  「 U+300C  4957회
  … U+2026  3123회
  。 U+3002  829회
  ＠ U+FF20  783회
  　 U+3000  591회
  ～ U+FF5E  425회
  × U+00D7  250회
  」 U+300D  160회
  ・ U+30FB  149회
  ？ U+FF1F  131회
  （ U+FF08  64회
  ） U+FF09  64회
  ＆ U+FF06  39회
  ！ U+FF01  39회
  ％ U+FF05  35회
  ― U+2015  27회
  ： U+FF1A  27회
  ー U+30FC  24회
  ♪ U+266A  23회
  神 U+795E  7회
  体 U+4F53  6회
  ＞ U+FF1E  5회
  ＜ U+FF1C  4회
  邪 U+90AA  4회
  氣 U+6C23  4회
  【 U+3010  4회
  】 U+3011  4회
  Ｈ U+FF28  3회
  Ｐ U+FF30  3회
  食 U+98DF  2회
  、 U+3001  2회
  童 U+7AE5  2회
  遊 U+904A  2회
  ン U+30F3  2회
  行 U+884C  2회
  商 U+5546  2회
  人 U+4EBA  2회
  丁 U+4E01  2회
  半 U+534A  2회
  銀 U+9280  2회
  猫 U+732B  2회
  骨 U+9AA8  2회
  心 U+5FC3  2회
  Ｘ U+FF38  1회
  １ U+FF11  1회
  根 U+6839  1회
  来 U+6765  1회
  社 U+793E  1회
  住 U+4F4F  1회
  冥 U+51A5  1회
  炎 U+708E  1회
  祭 U+796D  1회
  器 U+5668  1회
  電 U+96FB  1회
  伝 U+4F1D  1회
  記 U+8A18  1회
  猿 U+733F  1회
  奇 U+5947  1회
  鳥 U+9CE5  1회
  飛 U+98DB  1회
  気 U+6C17  1회
  《 U+300A  1회
  》 U+300B  1회
  〒 U+3012  1회
  死 U+6B7B  1회
  者 U+8005  1회
  正 U+6B63  1회
  国 U+56FD  1회
  違 U+9055  1회
  い U+3044  1회
  ↓ U+2193  1회
