0x40 매직 후보 2330개
0x000B4E len=65308
0x000B5B len=62772
0x000B62 len=62746
0x000BAC len=905500
0x000C19 len=62738
0x000C25 len=62778
0x000CC6 len=321806
0x001073 len=1876223
0x001942 len=1751295
0x0019AB len=2018559
0x001B26 len=62778
0x0027BD len=62811
0x0027CD len=847162
0x0029A8 len=54022
0x002D36 len=261908
0x003AEB len=589758
0x0044C1 len=119491
0x0044D9 len=785502
0x004CC5 len=785724
0x00585D len=42444
0x005F2F len=185547
0x006108 len=125991
0x006EE4 len=196485
0x006FBF len=419511
0x007094 len=1686226
0x0075CF len=1998545
0x007D22 len=1477894
0x0080C5 len=785666
0x0081AF len=127234
0x008424 len=323281
0x008564 len=36083
0x0087E5 len=1373221
0x008952 len=194135
0x00897B len=128053
0x0093F7 len=130822
0x009958 len=65524
0x00A03F len=577749
0x00AE90 len=524280
0x00B060 len=589215
0x00B48C len=654759

길이 빈도: 131071:7, 130303:4, 127234:3, 65338:3, 65340:3, 311295:3, 1957887:3, 65407:3, 1114111:3, 393461:3
