후보 234개
0x000000 magic=34 len=524320
0x003805 magic=95 len=524320
0x015805 magic=95 len=524320
0x019805 magic=15 len=524320
0x01D972 magic=81 len=8224
0x04CE81 magic=FD len=160
0x04E005 magic=95 len=524320
0x054005 magic=15 len=524320
0x058171 magic=81 len=8224
0x081805 magic=F5 len=524320
0x085805 magic=AA len=32800
0x085C3E magic=80 len=4128
0x086805 magic=AA len=32800
0x086FCE magic=B5 len=65568
0x087397 magic=8B len=544
0x088005 magic=AA len=32800
0x0884F5 magic=F3 len=524320
0x089005 magic=AA len=32800
0x08A005 magic=AA len=32800
0x08B805 magic=AA len=32800
0x08D005 magic=AA len=32800
0x08D5B2 magic=12 len=16416
0x08E805 magic=AA len=32800
0x090005 magic=AA len=32800
0x091005 magic=AA len=32800
0x092805 magic=AA len=32800
0x093805 magic=AA len=32800
0x09421B magic=8E len=160
0x095005 magic=AA len=32800
0x096005 magic=AA len=32800
0x097805 magic=AA len=32800
0x098805 magic=AA len=32800
0x099805 magic=AA len=32800
0x09A4B1 magic=BF len=2080
0x09B005 magic=AA len=32800
0x09C005 magic=AA len=32800
0x09D805 magic=AA len=32800
0x09D9CC magic=A0 len=160
0x09DF37 magic=40 len=160
0x09F005 magic=AA len=32800
0x0A0005 magic=AA len=32800
0x0A011A magic=90 len=160
0x0A1005 magic=AA len=32800
0x0A17B4 magic=BD len=524320
0x0A2805 magic=AA len=32800
0x0A2A5A magic=00 len=160
0x0A4805 magic=AA len=32800
0x0A4E94 magic=70 len=160
0x0A57CD magic=8D len=160
0x0A6005 magic=AA len=32800
0x0A8005 magic=AA len=32800
0x0A9805 magic=AA len=32800
0x0A99CB magic=B0 len=160
0x0AB005 magic=AA len=32800
0x0AC805 magic=AA len=32800
0x0AE005 magic=AA len=32800
0x0AF805 magic=AA len=32800
0x0AF8A3 magic=10 len=160
0x0B093A magic=14 len=4128
0x0B1005 magic=AA len=32800
