id	file	offset	budget	same_as	jp	kr
SCR05586	DATASCR.BIN	0x869C5	98	SCR05130	　ネムリーにタテついたこと、\n　ぜーったい後悔させてやるからね!\n　フーーーーーーーーーーーーーンだ!	네무리한테 대든 거,\n　절―대 후회하게 해줄 거니까!\n　흐----------------응이다!
SCR05587	DATASCR.BIN	0x87469	17	SCR05371	？「おまち、人間!	？「멈춰, 인간!
SCR05588	DATASCR.BIN	0x8763E	74	SCR05372	？「ホッホッホ。\n　そこから一歩でも動いたら。\n　貴女の食料を腐らせますよ。	？「호호호.\n　거기서 한 발짝이라도 움직이면,\n　식량을 썩혀버리겠어요.
SCR05589	DATASCR.BIN	0x876CF	18	SCR05373	？「ホーッホッホ!!	？「호호호홋!!
SCR05590	DATASCR.BIN	0x87708	82	SCR05374	クーフク「はじめまして。\n　あたくし八魔天の１人、\n　骨心（こつしん）魔天クーフク。	쿠후쿠「처음 뵙겠어요.\n　저는 팔마천 중 한 명,\n　골심(骨心) 마천 쿠후쿠예요.
SCR05591	DATASCR.BIN	0x8775E	45	SCR05375	　これでも、\n　高貴な身分ですの。よろしくね。	이래 봬도,\n　고귀한 몸이에요. 잘 부탁해요.
SCR05592	DATASCR.BIN	0x8778E	54	SCR05376	　あなた、\n　あたくしたちの邪魔をしに来た\n　みたいね。	당신,\n　저희를 방해하러 온\n　모양이네요.
SCR05593	DATASCR.BIN	0x877C7	72	SCR05377	　でもね、あたくしにも目的が\n　ありますの。\n　退くわけにはいかないのよ。	하지만, 저에게도 목적이\n　있답니다.\n　물러설 수는 없어요.
SCR05594	DATASCR.BIN	0x87837	50	SCR05378	　あたくしの目的。\n　それは食の神ブフー信仰の根絶!	저의 목적.\n　그건 부후 신앙의 근절!
SCR05595	DATASCR.BIN	0x8786C	94	SCR05379	　あたくし、ブフーって大っ嫌いなの。\n　だいたい名前がお下品よ。\n　いかにもガツガツしてそうで。	저는, 부후가 정말 싫어요.\n　애초에 이름부터가 천박해요.\n　딱 봐도 게걸스러워 보이고.
SCR05596	DATASCR.BIN	0x878CE	53	SCR05380	　そもそも食事なんて、\n　しないにこしたことはないわ。	애초에 식사 따위,\n　안 하는 게 나아요.
SCR05597	DATASCR.BIN	0x87907	55	SCR05381	　食べれば太るし、臭いはつくし、\n　虫歯にはなるし……。	먹으면 살찌고, 냄새는 나고,\n　충치는 생기고…….
SCR05598	DATASCR.BIN	0x87941	74	SCR05382	　こんな美しくない神を\n　ありがたがるなんて、どうかしてるわ。\n　まったく。	이런 아름답잖은 신을\n　고맙게 여기다니, 제정신이 아니에요.\n　정말이지.
SCR05599	DATASCR.BIN	0x8798E	84	SCR05383	　もしブフー信仰を捨てないようなら、\n　人間の食料、\n　みんな腐らせてやりますからね。	만약 부후 신앙을 버리지 않는다면,\n　인간의 식량,\n　전부 썩혀버릴 거예요.
