id	file	offset	budget	same_as	jp	kr
SYS00164	SSCR.BIN	0x1A626	23		%sは ようすを見ている。	%s는 상황을 살피고 있다.
SYS00165	SSCR.BIN	0x1A778	32		しかし なにも ぬすまれなかった。	하지만 아무것도 도둑맞지 않았다.
SYS00166	SSCR.BIN	0x1A8F5	21		%sは %dギタン盗んだ！	%s는 %d기탄을 훔쳤다!
SYS00167	SSCR.BIN	0x1A93F	21	SYS00166	%sは %dギタン盗んだ！	%s는 %d기탄을 훔쳤다!
SYS00168	SSCR.BIN	0x1AC1D	22		%sは %ldギタン盗んだ！	%s는 %ld기탄을 훔쳤다!
SYS00169	SSCR.BIN	0x1AC68	22	SYS00168	%sは %ldギタン盗んだ！	%s는 %ld기탄을 훔쳤다!
SYS00170	SSCR.BIN	0x1AF8C	23	SYS00164	%sは ようすを見ている。	%s는 상황을 살피고 있다.
SYS00171	SSCR.BIN	0x1B291	24		%sは %ldギタンぬすんだ！	%s는 %ld기탄을 훔쳤다!
SYS00172	SSCR.BIN	0x1B302	24	SYS00171	%sは %ldギタンぬすんだ！	%s는 %ld기탄을 훔쳤다!
SYS00173	SSCR.BIN	0x1B414	23		%ld ギタンを ひろった！	%ld기탄을 주웠다!
SYS00174	SSCR.BIN	0x1B598	23	SYS00173	%ld ギタンを ひろった！	%ld기탄을 주웠다!
SYS00175	SSCR.BIN	0x1B7FE	27		%sは くねくねダンスをした！	%s는 꿈틀꿈틀 춤을 췄다!
SYS00176	SSCR.BIN	0x1B886	25		しかし なんともなかった。	하지만 아무 일도 일어나지 않았다.
SYS00177	SSCR.BIN	0x1BBD3	24		%sの めだまが ひかった！	%s의 눈알이 번쩍였다!
SYS00178	SSCR.BIN	0x1BC99	23		しかし 効果がなかった！	하지만 효과가 없었다!
SYS00179	SSCR.BIN	0x1BCE3	15		%sは 混乱した！	%s는 혼란에 빠졌다!
SYS00180	SSCR.BIN	0x1C092	30		%sは モンスターを よびだした！	%s는 몬스터를 불러냈다!
SYS00181	SSCR.BIN	0x1C9F7	20		石は %sに 当たった！	돌은 %s에게 맞았다!
SYS00182	SSCR.BIN	0x1CA41	18		%sは 石を よけた！	%s는 돌을 피했다!
SYS00183	SSCR.BIN	0x1CF89	22		炎の息が %sを 焦がす！	불길이 %s를 태운다!
SYS00184	SSCR.BIN	0x1D4FD	23	SYS00164	%sは ようすを見ている。	%s는 상황을 살피고 있다.
SYS00185	SSCR.BIN	0x1D831	32	SYS00165	しかし なにも ぬすまれなかった。	하지만 아무것도 도둑맞지 않았다.
SYS00186	SSCR.BIN	0x1D8D3	30		しかし なにも ぬすめなかった。	하지만 아무것도 훔치지 못했다.
SYS00187	SSCR.BIN	0x1D9C1	12		%sを盗んだ！	%s를 훔쳤다!
SYS00188	SSCR.BIN	0x1E189	13		%sを おいた。	%s를 놓았다.
SYS00189	SSCR.BIN	0x1E1BE	19		ここには おけない。	여기에는 놓을 수 없다.
SYS00190	SSCR.BIN	0x1E2E2	12		%sを盗んだ。	%s를 훔쳤다.
SYS00191	SSCR.BIN	0x1F1FA	26		%sは クサイいきを はいた！	%s는 냄새나는 숨을 내뱉었다!
SYS00192	SSCR.BIN	0x1F2AD	33		大きなおにぎりに なってしまった！	커다란 주먹밥이 되어버렸다!
SYS00193	SSCR.BIN	0x1F3F0	26	SYS00191	%sは クサイいきを はいた！	%s는 냄새나는 숨을 내뱉었다!
SYS00194	SSCR.BIN	0x1F5EC	9		%sは %sを	%s는 %s를
SYS00195	SSCR.BIN	0x1F5FE	19		のどに つまらせた！	목에 걸렸다!
SYS00196	SSCR.BIN	0x1FA71	15		%sに 当たった！	%s에게 맞았다!
SYS00197	SSCR.BIN	0x20024	13	SYS00007	%sは 外れた。	%s는 빗나갔다.
SYS00198	SSCR.BIN	0x20A5F	16		%sに乗り移った！	%s에게 옮겨붙었다!
SYS00199	SSCR.BIN	0x20FFD	26		%sは 呪いの呪文を 唱えた！	%s는 저주의 주문을 외웠다!
SYS00200	SSCR.BIN	0x2107D	23	SYS00178	しかし 効果がなかった！	하지만 효과가 없었다!
SYS00201	SSCR.BIN	0x210C8	17		%sは 我を失った！	%s는 이성을 잃었다!
SYS00202	SSCR.BIN	0x21138	25	SYS00176	しかし なんともなかった。	하지만 아무 일도 일어나지 않았다.
SYS00203	SSCR.BIN	0x211ED	15		%sは 呪われた！	%s는 저주받았다!
SYS00204	SSCR.BIN	0x2124D	25	SYS00176	しかし なんともなかった。	하지만 아무 일도 일어나지 않았다.
SYS00205	SSCR.BIN	0x21C98	17		%sの ハラヘリー♪	%s의 배고파~♪
SYS00206	SSCR.BIN	0x21D44	28		はらがへって ＨＰが へった！	배가 고파서 HP가 줄었다!
SYS00207	SSCR.BIN	0x21E2F	31		満腹度が%d％に なってしまった！	포만도가 %d％가 되어버렸다!
SYS00208	SSCR.BIN	0x21E80	35		最大満腹度が%d％に なってしまった！	최대 포만도가 %d％가 되어버렸다!
SYS00209	SSCR.BIN	0x21EBF	25	SYS00176	しかし なんともなかった。	하지만 아무 일도 일어나지 않았다.
SYS00210	SSCR.BIN	0x2224C	24		%sは 腐った液を 吐いた！	%s는 썩은 액체를 토했다!
SYS00211	SSCR.BIN	0x22331	23		しかし 効果がなかった。	하지만 효과가 없었다.
