id	file	offset	budget	same_as	jp	kr
SYS00942	SSCR.BIN	0x57C67	298		カラス天狗系で一番弱いカラス天狗は、兜\n巾に白足袋、黄色の翼のモンスターですが\nそのフロアにいそうな別の敵に変身して登\n場するので、正体を現すのは倒される瞬間\nか能力を封印された時だけです。ただ、姿\nは真似できても中身と特殊能力は真似でき\nません。エレキ箱も同様に、味方時も装着\n時も他の姿に変身します。\n	까마귀 텐구 계열 중 가장 약한 까마귀 텐구는,\n두건에 흰 버선, 노란 날개를 가진 몬스터입니다만\n해당 층에 있을 법한 다른 적으로 변신하여\n등장하기 때문에, 정체를 드러내는 것은 쓰러지는\n순간이나 능력이 봉인되었을 때뿐입니다. 다만, 모습\n은 흉내낼 수 있어도 내용물과 특수능력은 흉내낼\n수 없습니다. 에레키 상자도 마찬가지로, 아군일 때도\n장착 시에도 다른 모습으로 변신합니다.\n
SYS00943	SSCR.BIN	0x57D93	306		カラス天狗系で２番目に強いハヤブサ天狗\nは、兜巾に白足袋、水色の翼のモンスター\nですが、そのフロアにいそうな別の敵に変\n身して登場するので、正体を現すのは倒さ\nれる瞬間か能力を封印された時だけです。\nただ、姿は真似できても中身と特殊能力は\n真似できません。エレキ箱も同様に、味方\n時も装着時も他の姿に変身します。\n	까마귀 텐구 계열 중 두 번째로 강한 매 텐구는,\n두건에 흰 버선, 하늘색 날개를 가진 몬스터입니다만,\n해당 층에 있을 법한 다른 적으로 변신하여\n등장하기 때문에, 정체를 드러내는 것은 쓰러지는\n순간이나 능력이 봉인되었을 때뿐입니다.\n다만, 모습은 흉내낼 수 있어도 내용물과 특수능력은\n흉내낼 수 없습니다. 에레키 상자도 마찬가지로, 아군일\n때도 장착 시에도 다른 모습으로 변신합니다.\n
SYS00944	SSCR.BIN	0x57EC7	300		カラス天狗系で最強のイヌワシ天狗は、兜\n巾に白足袋、若紫色の翼のモンスターです\nが、そのフロアにいそうな別の敵に変身し\nて登場するので、正体を現すのは倒される\n瞬間か能力を封印された時だけです。ただ\n姿は真似できても中身と特殊能力は真似で\nきません。エレキ箱も同様に、味方時も装\n着時も他の姿に変身します。\n	까마귀 텐구 계열 중 최강인 검독수리 텐구는,\n두건에 흰 버선, 연보라색 날개를 가진 몬스터입니다\n만, 해당 층에 있을 법한 다른 적으로 변신하여\n등장하기 때문에, 정체를 드러내는 것은 쓰러지는\n순간이나 능력이 봉인되었을 때뿐입니다. 다만\n모습은 흉내낼 수 있어도 내용물과 특수능력은 흉내\n낼 수 없습니다. 에레키 상자도 마찬가지로, 아군일\n때도 장착 시에도 다른 모습으로 변신합니다.\n
SYS00945	SSCR.BIN	0x57FF5	308		ダイキライはダイキライ系で一番弱い、メ\nタルブルーの爆弾です。ＨＰが半分以下に\nなると自爆します。爆発は地雷のワナと同\nじで隣８マスに影響します。また地雷を受\nけると誘爆し、地雷側もダイキライで誘爆\nするので連鎖に充分注意しましょう。この\nダイキライのエレキ箱は自爆誘爆ともに再\n現されており、取り扱い要注意です。\n	다이키라이는 다이키라이 계열 중 가장 약한,\n메탈 블루의 폭탄입니다. HP가 절반 이하가\n되면 자폭합니다. 폭발은 지뢰 함정과 마찬가지로\n인접 8칸에 영향을 줍니다. 또한 지뢰를 맞으면\n유폭하며, 지뢰 쪽도 다이키라이로 유폭되므로\n연쇄에 충분히 주의합시다. 이 다이키라이의\n에레키 상자는 자폭·유폭이 모두 재현되어 있어\n취급에 주의가 필요합니다.\n
SYS00946	SSCR.BIN	0x5812B	304		エレーキライはダイキライ系で２番目に強\nい、メタルグリーンの爆弾です。ＨＰが半\n分以下になると自爆します。当然ばくだん\n属性なのですが、自爆といっても電撃なの\nで水や隣接した相手を伝わって遠くまで影\n響しますが誘爆はありません。このエレー\nキライのエレキ箱は自爆も再現しており、\nお供の多い方は注意が必要です。\n	에레키라이는 다이키라이 계열 중 두 번째로\n강한, 메탈 그린의 폭탄입니다. HP가 절반\n이하가 되면 자폭합니다. 당연히 폭탄 속성이지만,\n자폭이라 해도 전격이기 때문에 물이나 인접한\n상대를 타고 멀리까지 영향을 미치지만 유폭은\n없습니다. 이 에레키라이의 에레키 상자는 자폭도\n재현되어 있어, 동료가 많은 분은 주의가\n필요합니다.\n
SYS00947	SSCR.BIN	0x5825D	288		チョーキライはダイキライ系で最強の、\nメタルレッドの爆弾です。ＨＰが半分以下\nになると自爆します。自爆といっても炎上\nなので、縦横５マスのひし形の範囲に火柱\nが立ちます。また火柱や炎が当たると誘爆\nします。このチョーキライのエレキ箱は\n自爆も誘爆も再現しており、お供の多い方\nは注意が必要です。\n	초키라이는 다이키라이 계열 중 최강인,\n메탈 레드의 폭탄입니다. HP가 절반 이하가\n되면 자폭합니다. 자폭이라 해도 화염이기 때문에,\n세로가로 5칸의 마름모꼴 범위에 불기둥이\n솟아오릅니다. 또한 불기둥이나 화염에 맞으면\n유폭합니다. 이 초키라이의 에레키 상자는\n자폭도 유폭도 재현되어 있어, 동료가 많은 분은\n주의가 필요합니다.\n
SYS00948	SSCR.BIN	0x5837F	312		茶色の体に白い翼、ブースターまであるロ\nケットイノシシは、ロケットイノシシ系で\n一番弱いイノシシです。敵を１マス突き飛\nばして転ばせてアイテムを落とさせます。\n堀などに落ちたアイテムは普通は拾えない\nので注意が必要です。このエレキ箱は同様\nに突き飛ばしてアイテムを落とさせます。\n装着中はそれが拾えないのが珠に傷です。\n	갈색 몸에 하얀 날개, 부스터까지 달린\n로켓멧돼지는 로켓멧돼지 계열 중 가장 약한\n멧돼지입니다. 적을 1칸 밀쳐서 넘어뜨려\n아이템을 떨어뜨리게 합니다. 해자 등에 떨어진\n아이템은 보통 주울 수 없으니 주의가 필요합니다.\n이 에레키 상자는 마찬가지로 밀쳐서 아이템을\n떨어뜨리게 합니다. 장착 중에는 그것을 주울\n수 없는 것이 옥에 티입니다.\n
SYS00949	SSCR.BIN	0x584B9	310		赤い体に白い翼、ブースターまであるジェ\nットイノシシは、ロケットイノシシ系で２\n番目に強いイノシシです。敵を２マス突き\n飛ばして転ばせて、アイテムを落とさせま\nす。堀に落ちたアイテムは普通拾えないの\nで注意が必要です。このエレキ箱は同様に\n突き飛ばしてアイテムを落とさせます。装\n着中はそれが拾えないのが珠に傷です。\n	빨간 몸에 하얀 날개, 부스터까지 달린\n제트멧돼지는 로켓멧돼지 계열 중 두 번째로\n강한 멧돼지입니다. 적을 2칸 밀쳐서 넘어뜨려\n아이템을 떨어뜨리게 합니다. 해자에 떨어진\n아이템은 보통 주울 수 없으니 주의가 필요합니다.\n이 에레키 상자는 마찬가지로 밀쳐서 아이템을\n떨어뜨리게 합니다. 장착 중에는 그것을 주울\n수 없는 것이 옥에 티입니다.\n
SYS00950	SSCR.BIN	0x585F1	308		黄色い体に白い翼、ブースターまであるソ\nニックイノシシは、ロケットイノシシ系で\n最強のイノシシです。敵を３マス突き飛ば\nして転ばせて、アイテムを落とさせます。\n堀に落ちたアイテムは普通は拾えないので\n注意が必要です。このエレキ箱は同様に突\nき飛ばしてアイテムを落とさせます。装着\n中はそれが拾えないのが珠に傷です。\n	노란 몸에 하얀 날개, 부스터까지 달린\n소닉멧돼지는 로켓멧돼지 계열 중 최강의\n멧돼지입니다. 적을 3칸 밀쳐서 넘어뜨려\n아이템을 떨어뜨리게 합니다. 해자에 떨어진\n아이템은 보통 주울 수 없으니 주의가 필요합니다.\n이 에레키 상자는 마찬가지로 밀쳐서 아이템을\n떨어뜨리게 합니다. 장착 중에는 그것을 주울\n수 없는 것이 옥에 티입니다.\n
SYS00951	SSCR.BIN	0x58727	308		部屋に落ちているアイテムを投げつけてく\nるひまガッパはひまガッパ系で一番弱い、\n緑色のカッパです。５マスまでなら角度無\n関係で届き、当たったり、壺に空きがあれ\nば入ったり、呪い装備は装備してしまった\nりします。エレキ箱の時も同様に敵に向か\nって投げつけます。装着して水中に落ちた\nアイテムを投げて出す事もできます。\n	방에 떨어져 있는 아이템을 던지는\n히마갓파는 히마갓파 계열 중 가장 약한,\n초록색 갓파입니다. 5칸까지라면 각도에\n상관없이 닿아, 명중하거나, 항아리에 여유가\n있으면 들어가거나, 저주 장비는 장착되어\n버리기도 합니다. 에레키 상자일 때도 마찬가지로\n적을 향해 던집니다. 장착하면 수중에 떨어진\n아이템을 던져서 꺼낼 수도 있습니다.\n
