id	file	offset	budget	same_as	jp	kr
SYS01617	SSCR.BIN	0x625A0	8		強化の壺	강화의 항아리
SYS01618	SSCR.BIN	0x625A9	14		きょうかのつぼ	강화의 항아리
SYS01619	SSCR.BIN	0x625DA	8		識別の壺	식별의 항아리
SYS01620	SSCR.BIN	0x625E3	14		しきべつのつぼ	식별의 항아리
SYS01621	SSCR.BIN	0x62614	8		回復の壺	회복의 항아리
SYS01622	SSCR.BIN	0x6261D	14		かいふくのつぼ	회복의 항아리
SYS01623	SSCR.BIN	0x6264E	8		弱化の壺	약화의 항아리
SYS01624	SSCR.BIN	0x62657	14		じゃくかのつぼ	약화의 항아리
SYS01625	SSCR.BIN	0x62688	10		底抜けの壺	밑빠진 항아리
SYS01626	SSCR.BIN	0x62693	14		そこぬけのつぼ	밑빠진 항아리
SYS01627	SSCR.BIN	0x626C4	8		倉庫の壺	창고의 항아리
SYS01628	SSCR.BIN	0x626CD	12		そうこのつぼ	창고의 항아리
SYS01629	SSCR.BIN	0x626FC	14		×魔物のるつぼ	×마물의 도가니
SYS01630	SSCR.BIN	0x6270B	10	SYS01396	没アイテム	미사용 아이템
SYS01631	SSCR.BIN	0x62738	8		変化の壺	변화의 항아리
SYS01632	SSCR.BIN	0x62741	12		へんげのつぼ	변화의 항아리
SYS01633	SSCR.BIN	0x62770	10		×トドの壺	×토도의 항아리
SYS01634	SSCR.BIN	0x6277B	10	SYS01396	没アイテム	미사용 아이템
SYS01635	SSCR.BIN	0x627A8	8		合成の壺	합성의 항아리
SYS01636	SSCR.BIN	0x627B1	14		ごうせいのつぼ	합성의 항아리
SYS01637	SSCR.BIN	0x627E2	8		祝福の壺	축복의 항아리
SYS01638	SSCR.BIN	0x627EB	16		しゅくふくのつぼ	축복의 항아리
SYS01639	SSCR.BIN	0x6281E	8		呪いの壺	저주의 항아리
SYS01640	SSCR.BIN	0x62827	12		のろいのつぼ	저주의 항아리
SYS01641	SSCR.BIN	0x62856	12		×草効果の壺	×풀 효과의 항아리
SYS01642	SSCR.BIN	0x62863	10	SYS01396	没アイテム	미사용 아이템
SYS01643	SSCR.BIN	0x62890	10		×形見の壺	×유품의 항아리
SYS01644	SSCR.BIN	0x6289B	12		かたみのつぼ	유품의 항아리
SYS01645	SSCR.BIN	0x628CA	10		手封じの壺	손봉인의 항아리
SYS01646	SSCR.BIN	0x628D5	14	SYS01140	てふうじのつぼ	손봉인의 항아리
SYS01647	SSCR.BIN	0x62906	6		水がめ	물항아리
SYS01648	SSCR.BIN	0x6290D	8		みずがめ	물항아리
SYS01649	SSCR.BIN	0x62938	14		×ビックリの壺	×깜짝 항아리
