id	file	offset	budget	same_as	jp	kr
SYS03071	SSCR.BIN	0x85FFD	12		奈落への入口	나락으로 가는 입구
SYS03072	SSCR.BIN	0x86016	4		階段	계단
SYS03073	SSCR.BIN	0x86027	4	SYS03072	階段	계단
SYS03074	SSCR.BIN	0x86038	14		何処かへの階段	어딘가로 이어지는 계단
SYS03075	SSCR.BIN	0x86053	10	SYS01663	鈍足のワナ	둔족의 함정
SYS03076	SSCR.BIN	0x8606A	12	SYS01665	ケロケロの雨	개굴개굴 비
SYS03077	SSCR.BIN	0x86083	10	SYS01667	落石のワナ	낙석의 함정
SYS03078	SSCR.BIN	0x8609A	12	SYS01669	大落石のワナ	대낙석의 함정
SYS03079	SSCR.BIN	0x860B3	4	SYS01671	バネ	스프링
SYS03080	SSCR.BIN	0x860C4	4	SYS01671	バネ	스프링
SYS03081	SSCR.BIN	0x860D5	10	SYS01675	トラバサミ	덫
SYS03082	SSCR.BIN	0x860EC	14	SYS01677	一方通行のワナ	일방통행의 함정
SYS03083	SSCR.BIN	0x86107	14	SYS01677	一方通行のワナ	일방통행의 함정
SYS03084	SSCR.BIN	0x86122	14	SYS01677	一方通行のワナ	일방통행의 함정
SYS03085	SSCR.BIN	0x8613D	14	SYS01677	一方通行のワナ	일방통행의 함정
SYS03086	SSCR.BIN	0x86158	14	SYS01677	一方通行のワナ	일방통행의 함정
SYS03087	SSCR.BIN	0x86173	16	SYS01687	イガイガボトボト	따끔따끔 뚝뚝
SYS03088	SSCR.BIN	0x86190	6	SYS01689	転び石	넘어지는 돌
SYS03089	SSCR.BIN	0x861A3	16	SYS01691	モンスターのワナ	몬스터의 함정
SYS03090	SSCR.BIN	0x861C0	12	SYS01693	警報スイッチ	경보 스위치
SYS03091	SSCR.BIN	0x861D9	8	SYS01695	罠のワナ	덫의 함정
SYS03092	SSCR.BIN	0x861EE	8	SYS01697	眠りガス	수면 가스
SYS03093	SSCR.BIN	0x86203	10		×幻覚ガス	×환각 가스
SYS03094	SSCR.BIN	0x8621A	6	SYS01701	回転板	회전판
SYS03095	SSCR.BIN	0x8622D	12		×連鎖のワナ	×연쇄의 함정
SYS03096	SSCR.BIN	0x86246	12	SYS01705	木の矢のワナ	나무화살 함정
SYS03097	SSCR.BIN	0x8625F	12	SYS01707	鉄の矢のワナ	쇠화살 함정
SYS03098	SSCR.BIN	0x86278	10	SYS01709	毒矢のワナ	독화살 함정
SYS03099	SSCR.BIN	0x8628F	6	SYS01711	落し穴	함정 구덩이
SYS03100	SSCR.BIN	0x862A2	12	SYS01713	召喚スイッチ	소환 스위치
SYS03101	SSCR.BIN	0x862BB	4	SYS01715	地雷	지뢰
SYS03102	SSCR.BIN	0x862CC	8	SYS01717	大型地雷	대형 지뢰
SYS03103	SSCR.BIN	0x862E1	12	SYS01719	デロデロの湯	흐물흐물 온천물
SYS03104	SSCR.BIN	0x862FA	14	SYS01721	装備外しのワナ	장비해제 함정
SYS03105	SSCR.BIN	0x86315	12	SYS01723	水滴ポットン	물방울 퐁당
SYS03106	SSCR.BIN	0x8632E	10	SYS01725	丸太のワナ	통나무 함정
SYS03107	SSCR.BIN	0x86345	10	SYS01727	トゲのワナ	가시 함정
SYS03108	SSCR.BIN	0x8635C	10	SYS01729	呪いのワナ	저주의 함정
SYS03109	SSCR.BIN	0x86373	12	SYS01731	イカリのワナ	분노의 함정
SYS03110	SSCR.BIN	0x8638C	14	SYS01733	いかずちのワナ	벼락의 함정
