id	file	offset	budget	same_as	jp	kr
EXE107364	1NOSDC.BIN	0x107364	8		アスカ＠	아스카＠
EXE107370	1NOSDC.BIN	0x107370	6	SYS00383	アスカ	아스카
EXE107378	1NOSDC.BIN	0x107378	8	SYS00056	Ａボタン	A버튼
EXE107384	1NOSDC.BIN	0x107384	8	SYS00057	Ｂボタン	B버튼
EXE107390	1NOSDC.BIN	0x107390	8	SYS00058	Ｘボタン	X버튼
EXE10739C	1NOSDC.BIN	0x10739C	8	SYS00059	Ｙボタン	Y버튼
EXE1073A8	1NOSDC.BIN	0x1073A8	10		Ｌトリガー	L트리거
EXE1073B4	1NOSDC.BIN	0x1073B4	10		Ｒトリガー	R트리거
EXE107758	1NOSDC.BIN	0x107758	28		女剣士アスカ見参　風来人番付	여검사 아스카 견참　풍래인 순위표
EXE107788	1NOSDC.BIN	0x107788	28		女剣士アスカ見参　地形データ	여검사 아스카 견참　지형 데이터
EXE1077B8	1NOSDC.BIN	0x1077B8	26		女剣士アスカ見参　風来日記	여검사 아스카 견참　풍래일지
EXE107BFC	1NOSDC.BIN	0x107BFC	7		停止中\n	정지 중\n
EXE107C04	1NOSDC.BIN	0x107C04	7		準備中\n	준비 중\n
EXE107C0C	1NOSDC.BIN	0x107C0C	7		再生中\n	재생 중\n
EXE107C14	1NOSDC.BIN	0x107C14	5		終了\n	종료\n
