id	file	offset	budget	same_as	jp	kr
EXE108368	1NOSDC.BIN	0x108368	20		あいうえおはひふへほ	
EXE108380	1NOSDC.BIN	0x108380	20		かきくけこまみむめも	
EXE108398	1NOSDC.BIN	0x108398	20		さしすせそやゆよっー	
EXE1083B0	1NOSDC.BIN	0x1083B0	20		たちつてとらりるれろ	
EXE1083C8	1NOSDC.BIN	0x1083C8	20		なにぬねのわをん゛゜	
EXE1083E0	1NOSDC.BIN	0x1083E0	20		ぁぃぅぇぉゃゅょ？　	
EXE1083F8	1NOSDC.BIN	0x1083F8	20		アイウエオハヒフヘホ	
EXE108410	1NOSDC.BIN	0x108410	20		カキクケコマミムメモ	
EXE108428	1NOSDC.BIN	0x108428	20		サシスセソヤユヨッー	
EXE108440	1NOSDC.BIN	0x108440	20		タチツテトラリルレロ	
EXE108458	1NOSDC.BIN	0x108458	20		ナニヌネノワヲン゛゜	
EXE108470	1NOSDC.BIN	0x108470	20		ァィゥェォャュョ　　	
EXE108774	1NOSDC.BIN	0x108774	82		かきくけこさしすせそたちつてとはひふへほウカキクケコサシスセソタチツテトハヒフヘホ	
EXE1087CC	1NOSDC.BIN	0x1087CC	20		はひふへほハヒフヘホ	
EXE1087E4	1NOSDC.BIN	0x1087E4	142		あいうえおかがきぎくぐけげこごさざしじすずせぜそぞただちぢつづてでとどなにぬねのはばぱひびぴふぶぷへべぺほぼぽまみむめもやゆよらりるれろわをん	
EXE108878	1NOSDC.BIN	0x108878	82		がぎぐげござじずぜぞだぢづでどばびぶべぼヴガギグゲゴザジズゼゾダヂヅデドバビブベボ	
EXE1088D0	1NOSDC.BIN	0x1088D0	20		ぱぴぷぺぽパピプペポ	
