id	file	offset	budget	same_as	jp	kr
SGL0093AA	SSCR.BIN	0x93AA	4		%d才	%d세
SGL05DA0A	SSCR.BIN	0x5DA0A	2		盾	방패
SGL05DA12	SSCR.BIN	0x5DA12	2		矢	화살
SGL05DA23	SSCR.BIN	0x5DA23	2		杖	봉
SGL05DA32	SSCR.BIN	0x5DA32	2		壺	단지
SGL05EAD0	SSCR.BIN	0x5EAD0	2		杖	봉
SGL060262	SSCR.BIN	0x60262	4		×石	×돌
SGL0676D0	SSCR.BIN	0x676D0	4		×氷	×빙
SGL0812A9	SSCR.BIN	0x812A9	4		%sを	%s
SGL099696	SSCR.BIN	0x99696	8		%s「%sを	%s「%s
SGL09D9DB	SSCR.BIN	0x9D9DB	6		%sに%s	%s에%s
SGL09DA1F	SSCR.BIN	0x9DA1F	6		%sに%s	%s에%s
SGL09DB18	SSCR.BIN	0x9DB18	14		         %2d秒	         %2d초
SGL0A10B0	SSCR.BIN	0xA10B0	6		%s(黑)	%s(흑)
SGL0A15F6	SSCR.BIN	0xA15F6	6		%s(黑)	%s(흑)
SGL0A1DE8	SSCR.BIN	0xA1DE8	7		　盾 %d	방패 %d
SGL0A9391	SSCR.BIN	0xA9391	4		%sを	%s
SGL0AF8FA	SSCR.BIN	0xAF8FA	4		%sを	%s
SGL0BE098	SSCR.BIN	0xBE098	16		[%s] stg %d %d階	[%s] stg %d %d층
SGL0BC4C9	SSCR.BIN	0xBC4C9	5		%2d階	%2d층
